,Phrase,label
3,Show me what the system would predict on [another instance].,64
4,What are the results of other people using the system?,44
6,Is feature X used to make the predictions?,6
11,How to change this feature to get a different prediction?,12
13,What features does the system consider?,3
15,Does this model use this feature X?,6
20,Give me the highest feature that would give me this prediction.,20
28,What algorithm is being used?,1
30,What are the reasons for the same prediction of A and B?,68
37,How does the system become better over time?,30
42,How is this instance given this prediction?,67
44,In which way were the ground-truth created?,27
45,What are the most predictive rules?,4
46,Which data type is the model trained on?,21
47,What does ML terminology mean?,43
48,What type of output does the system give?,50
49,What is the lowest feature one can have to still get the same prediction?,17
54,How were the ground truth given?,27
55,What are the limitations of the data?,25
56,What is the source of the data?,21
59,What kind of data does the system learn from?,21
60,What do you mean by ML terminology?,43
65,What kind of instance gets this prediction?,13
67,What kind of instance gets a different prediction?,14
68,How will the accuracy/precision/recall improve?,30
70,Why did you ignore this feature?,34
71,What is the system's overall reasoning?,2
72,How did you get this result?,67
74,Why are A and B predicted differently?,73
75,Why is this instance predicted P instead of Q?,71
79,Which algorithm does X use?,1
82,How is the output used for other system component(s)?,53
85,What should I change in this instance to get a different prediction?,11
86,From which kind of data does the system learn?,21
88,What features of this instance lead to the system's prediction?,69
89,What is the reason for adaptation?,30
92,How does it weigh different features?,8
94,How will the system performance improve over time?,30
97,Why do you use this feature?,37
99,Where did the labels come from?,27
100,What are the most salient rules that it uses?,4
101,How were the labels generated?,27
108,What percentage of predictions are correct?,60
111,How often does it get the wrong prediction?,62
114,How is not label A?,71
116,What was the source of the ground-truth?,27
122,What does this output represent?,52
123,What are the necessary features present or absent to guarantee this prediction?,16
125,What would be best to use the output for?,54
127,How should this Instance change to get a different prediction?,11
131,What feature has the largest possible value for which one can still receive the same result?,20
134,Why does it use this rule?,36
135,How often is the system correct?,60
136,How can I best utilize the output of the system?,54
137,How are the predictions made?,7
138,What are the top features it uses?,5
141,How often does the system get it wrong?,62
142,What are the limitations of the system?,56
143,What is the kind of output?,50
145,What are the most important rules?,4
146,What would the system predict if this feature of the instance changes to A?,64
147,Give me the reason why the system will improve over time.,30
148,For this prediction what is/are the highest value(s) of feature(s) which always leads to this prediction?,20
149,What is the confidence score of this prediction.,60
151,What would happen if this instance changes to A?,64
156,Under what conditions will this prediction not change?,15
158,What kind of algorithm is used?,1
159,What was type of data used?,21
160,What is the sample size?,21
162,How is label A not applied for this instance?,71
163,What data is the system not using?,24
164,How should this feature change for this instance to get a different prediction?,12
166,How precise are the predictions?,60
168,Why will the model change over time?,30
169,Under which circumstances will the model be wrong?,58
174,How will the system drift over time?,30
175,What data is the model NOT using?,24
177,Which field of this instance led to this prediction?,69
181,Why are instance A and B predicted differently?,73
184,How accurate is the system?,64
185,When is the system likely to be correct?,59
186,How reliable are the predictions?,60
187,Is the system's performance good enough for [A]?,57
188,How accurate is the prediction?,60
191,Can this system do [A]?,51
192,What should be the value of this feature in order to change the prediction,12
194,Why will the result improve over time?,30
195,Where is the system likely to be valid?,59
197,What should I do with the output?,54
200,Why do you give different prediction for A and B?,73
204,What would the system predict for [a different instance]?,64
209,How does feature X impact its predictions?,6
211,How are the parameters set?,10
215,How should this feature change for this instance to get a different result?,12
216,What is the interpretation of this result?,52
