,Question,Label
0,What do different features contribute?,8
1,Show me what the system would predict on {B}.,64
2,What was the result when other people used the system?,44
3,What should be changed about the system?,49
4,Is feature {X} used or not used for the predictions?,6
5,How often does the system make mistakes?,62
6,What is the system's overall logic?,2
7,How to change a feature to get a different prediction?,12
8,What are the biases of the data?,26
9,What features does the system consider?,3
10,Does this model use a feature {X}?,6
11,What features does the system consider?,3
12,What features of this instance lead to the system's prediction?,69
13,What is the highest feature one can have to still get the same prediction?,20
14,Why did you ignore that data?,35
15,What algorithm is being used?,1
16,Why are instance {A} and instance {B} given the same prediction?,68
17,What features does the system consider?,3
18,What does using a feature achieve?,37
19,How precise are the predictions?,60
20,How will the system improve over time?,30
21,Give me the reason for this prediction.,69
22,How precise are the predictions?,60
23,How did you arrive at this number?,67
24,How were the ground-truth produced?,27
25,What are the most predictive rules?,4
26,What kind of data does the system learn from?,21
27,What is the definition of it?,43
28,What type of output does the system give?,50
29,What is the minimum value of feature one must have to still get this prediction?,17
30,What will the system adapt over time?,30
31,How is the output used for other system component(s)?,53
32,What will the system change over time?,30
33,How were the ground truth given?,27
34,What are the drawbacks of this dataset?,25
35,Where did you get this data from?,21
36,What are the conditions for the same prediction?,15
37,What kind of data does the system learn from?,21
38,What do you mean by it?,43
39,What is the scope of the system's capability? Can it do [A]?,51
40,How should I interpret this result in terms of bias?,26
41,What kind of instance gets this prediction?,13
42,What kind of instance gets a different prediction?,14
43,How will the accuracy/precision/recall improve?,30
44,Why does it not use a feature?,34
45,What is the system's overall logic?,2
46,How did you get this result?,67
47,What is the weakness of the data?,25
48,Why are instances {A} and {B} given different predictions?,73
49,Why is this instance predicted {P} instead of {Q}?,71
50,Which algorithm does {X} use?,1
51,How is the output used for other system component(s)?,53
52,How will the system adapt over time?,30
53,What kind of data does the system learn from?,21
54,What are the conditions that must be met to guarantee this result?,16
55,What features of this instance lead to the system's prediction?,69
56,What is the reason for adaptation?,30
57,Where did the data come from?,21
58,How does the system weigh different features?,8
59,How does it weigh different features?,8
60,How will the system performance improve over time?,30
61,What will cause the system to learn?,30
62,Why do you use a feature?,37
63,What features of this instance lead to the system's prediction?,69
64,How were the labels produced?,27
65,What are the top rules it uses?,4
66,How were the labels generated?,27
67,What is the lowest feature one can have to still get the same prediction?,17
68,What is the importance of each feature?,8
69,How accurate are the predictions?,60
70,What does the system use to make predictions?,7
71,In what conditions will this prediction be different?,15
72,How often does the system make mistakes?,62
73,What are the weights of the parameters?,10
74,Where is the system not effective?,56
75,How is not label {Q}?,71
76,How were the ground-truth produced?,27
77,What is the scope of its capability?,51
78,Which feature is given importance?,8
79,Why is this instance predicted {P} instead of {Q}?,71
80,What does this output represent?,52
81,What characteristic of this data must be present or absent?,16
82,How can I best utilize the output of the system?,54
83,What is the reason for this prediction?,67
84,How should this Instance change to get a different prediction?,11
85,Which feature is the model using?,37
86,What kind of mistakes is the system likely to make?,55
87,What is the highest feature one can have to still get the same prediction?,20
88,What features does the system consider?,3
89,What is the justification for using that rule?,36
90,How accurate are the predictions?,60
91,How can I best utilize the output of the system?,54
92,How are the predictions made?,7
93,What are the top features it uses?,5
94,Why is this instance predicted {P} instead of {Q}?,71
95,How often does the system make mistakes?,62
96,What are the weaknesses of the system?,56
97,What kind of output does the system give?,50
98,How are the weights of the parameters set?,10
99,What are the top rules it uses?,4
100,What would the system predict if a feature of the instance changes to {V}?,64
101,Give me the reason why the system will improve over time.,30
102,What is the highest feature one can have to still get the same prediction?,20
103,How accurate are the predictions?,60
104,What would the system predict if this instance changes to {A}?,64
105,Which instance type gets this prediction?,13
106,What kind of instance gets a different prediction?,14
107,Why are instance {A} and instance {B} given the same prediction?,68
108,Under what conditions will this prediction not change?,15
109,What kind of algorithm is used?,1
110,What was type of data used?,21
111,What is the sample size?,21
112,How is label {Q} not applied for this instance?,71
113,What kind of data is the system not using?,24
114,How should a feature change for this instance to get a different prediction?,12
115,How is the current instance given a particular prediction?,67
116,How precise are the predictions?,60
117,Why will the system change over time?,30
118,Under which circumstances will the model be wrong?,58
119,How will the prediction change over time?,30
120,What data is the model NOT using?,24
121,What features of this instance lead to the system's prediction?,69
122,Why is this instance predicted {P} instead of {Q}?,71
123,Why are instance {A} and {B} predicted differently?,73
124,What will the system do with new data?,30
125,What data is the system not using?,24
126,How often does the system make mistakes?,62
127,In what situations is the system likely to be correct?,59
128,How reliable are the predictions?,60
129,Is the system's performance good enough for [A]?,57
130,How precise are the predictions?,60
131,What is the scope of the system's capability?Can it do [A]?,51
132,How should a feature change for this instance to get a different prediction?,12
