Survived,Pclass,Sex,Age,Fare,Embarked,Title,Deck,Family_Size
0,3,male,22.0,7.25,S,Mr,Unknown,1
1,1,female,38.0,71.2833,C,Mrs,C,1
1,3,female,26.0,7.925,S,Miss,Unknown,0
1,1,female,35.0,53.1,S,Mrs,C,1
0,3,male,35.0,8.05,S,Mr,Unknown,0
0,3,male,29.69911764705882,8.4583,Q,Mr,Unknown,0
0,1,male,54.0,51.8625,S,Mr,E,0
0,3,male,2.0,21.075,S,Master,Unknown,4
1,3,female,27.0,11.1333,S,Mrs,Unknown,2
1,2,female,14.0,30.0708,C,Mrs,Unknown,1
1,3,female,4.0,16.7,S,Miss,G,2
1,1,female,58.0,26.55,S,Miss,C,0
0,3,male,20.0,8.05,S,Mr,Unknown,0
0,3,male,39.0,31.275,S,Mr,Unknown,6
0,3,female,14.0,7.8542,S,Miss,Unknown,0
1,2,female,55.0,16.0,S,Mrs,Unknown,0
0,3,male,2.0,29.125,Q,Master,Unknown,5
1,2,male,29.69911764705882,13.0,S,Mr,Unknown,0
0,3,female,31.0,18.0,S,Mrs,Unknown,1
1,3,female,29.69911764705882,7.225,C,Mrs,Unknown,0
0,2,male,35.0,26.0,S,Mr,Unknown,0
1,2,male,34.0,13.0,S,Mr,D,0
1,3,female,15.0,8.0292,Q,Miss,Unknown,0
1,1,male,28.0,35.5,S,Mr,A,0
0,3,female,8.0,21.075,S,Miss,Unknown,4
1,3,female,38.0,31.3875,S,Mrs,Unknown,6
0,3,male,29.69911764705882,7.225,C,Mr,Unknown,0
0,1,male,19.0,263.0,S,Mr,C,5
1,3,female,29.69911764705882,7.8792,Q,Miss,Unknown,0
0,3,male,29.69911764705882,7.8958,S,Mr,Unknown,0
0,1,male,40.0,27.7208,C,Mr,Unknown,0
1,1,female,29.69911764705882,146.5208,C,Mrs,B,1
1,3,female,29.69911764705882,7.75,Q,Miss,Unknown,0
0,2,male,66.0,10.5,S,Mr,Unknown,0
0,1,male,28.0,82.1708,C,Mr,Unknown,1
0,1,male,42.0,52.0,S,Mr,Unknown,1
1,3,male,29.69911764705882,7.2292,C,Mr,Unknown,0
0,3,male,21.0,8.05,S,Mr,Unknown,0
0,3,female,18.0,18.0,S,Miss,Unknown,2
1,3,female,14.0,11.2417,C,Miss,Unknown,1
0,3,female,40.0,9.475,S,Mrs,Unknown,1
0,2,female,27.0,21.0,S,Mrs,Unknown,1
0,3,male,29.69911764705882,7.8958,C,Mr,Unknown,0
1,2,female,3.0,41.5792,C,Miss,Unknown,3
1,3,female,19.0,7.8792,Q,Miss,Unknown,0
0,3,male,29.69911764705882,8.05,S,Mr,Unknown,0
0,3,male,29.69911764705882,15.5,Q,Mr,Unknown,1
1,3,female,29.69911764705882,7.75,Q,Miss,Unknown,0
0,3,male,29.69911764705882,21.6792,C,Mr,Unknown,2
0,3,female,18.0,17.8,S,Mrs,Unknown,1
0,3,male,7.0,39.6875,S,Master,Unknown,5
0,3,male,21.0,7.8,S,Mr,Unknown,0
1,1,female,49.0,76.7292,C,Mrs,D,1
1,2,female,29.0,26.0,S,Mrs,Unknown,1
0,1,male,65.0,61.9792,C,Mr,B,1
1,1,male,29.69911764705882,35.5,S,Mr,C,0
1,2,female,21.0,10.5,S,Miss,Unknown,0
0,3,male,28.5,7.2292,C,Mr,Unknown,0
1,2,female,5.0,27.75,S,Miss,Unknown,3
0,3,male,11.0,46.9,S,Master,Unknown,7
0,3,male,22.0,7.2292,C,Mr,Unknown,0
1,1,female,38.0,80.0,S,Miss,B,0
0,1,male,45.0,83.475,S,Mr,C,1
0,3,male,4.0,27.9,S,Master,Unknown,5
0,1,male,29.69911764705882,27.7208,C,Mr,Unknown,0
1,3,male,29.69911764705882,15.2458,C,Master,Unknown,2
1,2,female,29.0,10.5,S,Mrs,F,0
0,3,male,19.0,8.1583,S,Mr,Unknown,0
1,3,female,17.0,7.925,S,Miss,Unknown,6
0,3,male,26.0,8.6625,S,Mr,Unknown,2
0,2,male,32.0,10.5,S,Mr,Unknown,0
0,3,female,16.0,46.9,S,Miss,Unknown,7
0,2,male,21.0,73.5,S,Mr,Unknown,0
0,3,male,26.0,14.4542,C,Mr,Unknown,1
1,3,male,32.0,56.4958,S,Mr,Unknown,0
0,3,male,25.0,7.65,S,Mr,F,0
0,3,male,29.69911764705882,7.8958,S,Mr,Unknown,0
0,3,male,29.69911764705882,8.05,S,Mr,Unknown,0
1,2,male,0.83,29.0,S,Master,Unknown,2
1,3,female,30.0,12.475,S,Miss,Unknown,0
0,3,male,22.0,9.0,S,Mr,Unknown,0
1,3,male,29.0,9.5,S,Mr,Unknown,0
1,3,female,29.69911764705882,7.7875,Q,Miss,Unknown,0
0,1,male,28.0,47.1,S,Mr,Unknown,0
1,2,female,17.0,10.5,S,Miss,Unknown,0
1,3,female,33.0,15.85,S,Mrs,Unknown,3
0,3,male,16.0,34.375,S,Mr,Unknown,4
0,3,male,29.69911764705882,8.05,S,Mr,Unknown,0
1,1,female,23.0,263.0,S,Miss,C,5
0,3,male,24.0,8.05,S,Mr,Unknown,0
0,3,male,29.0,8.05,S,Mr,Unknown,0
0,3,male,20.0,7.8542,S,Mr,Unknown,0
0,1,male,46.0,61.175,S,Mr,E,1
0,3,male,26.0,20.575,S,Mr,Unknown,3
0,3,male,59.0,7.25,S,Mr,Unknown,0
0,3,male,29.69911764705882,8.05,S,Mr,Unknown,0
0,1,male,71.0,34.6542,C,Mr,A,0
1,1,male,23.0,63.3583,C,Mr,D,1
1,2,female,34.0,23.0,S,Mrs,Unknown,1
0,2,male,34.0,26.0,S,Mr,Unknown,1
0,3,female,28.0,7.8958,S,Miss,Unknown,0
0,3,male,29.69911764705882,7.8958,S,Mr,Unknown,0
0,1,male,21.0,77.2875,S,Mr,D,1
0,3,male,33.0,8.6542,S,Mr,Unknown,0
0,3,male,37.0,7.925,S,Mr,Unknown,2
0,3,male,28.0,7.8958,S,Mr,Unknown,0
1,3,female,21.0,7.65,S,Miss,Unknown,0
1,3,male,29.69911764705882,7.775,S,Mr,Unknown,0
0,3,male,38.0,7.8958,S,Mr,Unknown,0
1,3,female,29.69911764705882,24.15,Q,Miss,Unknown,1
0,1,male,47.0,52.0,S,Mr,C,0
0,3,female,14.5,14.4542,C,Miss,Unknown,1
0,3,male,22.0,8.05,S,Mr,Unknown,0
0,3,female,20.0,9.825,S,Miss,Unknown,1
0,3,female,17.0,14.4583,C,Miss,Unknown,0
0,3,male,21.0,7.925,S,Mr,Unknown,0
0,3,male,70.5,7.75,Q,Mr,Unknown,0
0,2,male,29.0,21.0,S,Mr,Unknown,1
0,1,male,24.0,247.5208,C,Mr,B,1
0,3,female,2.0,31.275,S,Miss,Unknown,6
0,2,male,21.0,73.5,S,Mr,Unknown,2
0,3,male,29.69911764705882,8.05,S,Mr,Unknown,0
0,2,male,32.5,30.0708,C,Mr,Unknown,1
1,2,female,32.5,13.0,S,Miss,E,0
0,1,male,54.0,77.2875,S,Mr,D,1
