Phrase A;Phrase B;Score
What do different features contribute?;How does it weigh different features?;4.333333333333333
Show me what the system would predict on [another instance].;What would the system predict for [a different instance]?;5.6
What was the result when other people used the system?;What are the results of other people using the system?;5.0
What should be changed about the system?;How to improve the system?;4.0
Is feature X used or not used for the predictions?;Is feature X used to make the predictions?;5.0
What kind of data does the system learn from?;What kind of data is the machine learning system supposed to be able to handle effectively?;2.3333333333333335
What kind of instance gets a different prediction?;What are the conditions for the same prediction?;3.3333333333333335
How often does the system make mistakes?;When is the system incorrect?;4.0
What is the system's overall logic?;Which factors are included in the reasoning process?;4.0
How to change this feature to get a different prediction?;How should this feature change for this instance to get a different prediction?;5.666666666666667
What are the biases of the data?;What was the data skew like?;4.333333333333333
What features does the system consider?;Which attributes are used by the model?;5.666666666666667
What would happen if we used this rule?;Why does it not use this rule?;2.6666666666666665
Does this model use this feature X?;Is feature X used or not used for the predictions?;5.0
What are the mechanisms that will drive the learning?;Why will the system adapt over time?;3.0
What features does the system consider?;Which features does it take into account?;6.0
How high do feature one values have to be to still be predicted the same thing?;In what situations is the system likely to be incorrect?;1.3333333333333333
What features of this instance lead to the system's prediction?;Why did the system give this prediction?;4.0
What is the highest feature one can have to still get the same prediction?;Give me the highest feature that would give me this prediction.;5.0
Why did you ignore that data?;Why does it not use this data?;4.333333333333333
What factors will influence the model's behavior?;Why will the system change over time?;1.3333333333333333
What is the scope of change permitted to still get the same prediction?;What is the smallest feature one can have to still get the same result?;3.0
What is the highest feature one can have to still get the same prediction?;Which features will result in the same prediction and which ones won't?;2.3333333333333335
What is the sample size?;How many instances are there like this?;3.0
What would the prediction of the class change to if a data point had A value of this attribute?;What would the system predict if this instance changes to A?;3.3333333333333335
How accurate are the predictions?;How often does the system get it wrong?;4.0
What algorithm is being used?;What kind of algorithm is used?;5.666666666666667
How were the ground-truth produced?;What biases does the data have?;1.3333333333333333
Why are instance A and instance B given the same prediction?;What are the reasons for the same prediction of A and B?;5.666666666666667
How does input X impact the model?;What rules does it use?;1.3333333333333333
For which kind of instances does this prediction hold?;What are the necessary features present or absent to guarantee this prediction?;3.6666666666666665
How will this result vary over time?;What will the system drift over time?;3.3333333333333335
What features does the system consider?;Which attributes does the model use?;6.0
What does using this feature achieve?;Why does it use this feature?;3.6666666666666665
How precise are the predictions?;How accurate is this prediction?;4.0
How will the system improve over time?;How does the system become better over time?;5.666666666666667
Give me the reason for this prediction.;What features of this instance lead to the system's prediction?;4.333333333333333
How will the system adapt over time?;How do I know the system is improving?;3.3333333333333335
What is the output of the system?;What does the system output mean?;3.6666666666666665
How precise are the predictions?;What is the reliability of this result?;4.333333333333333
How did you arrive at this number?;How is this instance given this prediction?;5.0
Give me an instance which is similar to this.;How much data like this is the system trained on?;2.3333333333333335
How were the ground-truth produced?;In which way were the ground-truth created?;6.0
What are the most predictive rules?;What are the top rules it uses?;5.0
What kind of data does the system learn from?;Which data type is the model trained on?;5.333333333333333
What is the definition of ML terminology?;What does ML terminology mean?;5.333333333333333
What type of output does the system give?;What kind of output does the system give?;5.666666666666667
What is the minimum value of feature one must have to still get this prediction?;What is the lowest feature one can have to still get the same prediction?;4.666666666666667
What will the system adapt over time?;How will the model change over time?;4.0
How is the output used for other system component(s)?;What is the output used for?;4.333333333333333
What will the system change over time?;What will happen to the system over time?;4.0
What is the reason for this prediction?;Why will the system adapt over time?;1.0
How were the ground truth given?;How were the ground-truth produced?;4.666666666666667
What are the drawbacks of this dataset?;What are the limitations of the data?;5.0
Where did you get this data from?;What is the source of the data?;5.666666666666667
Is the system's performance good enough for [A]?;What percentage of predictions are correct?;1.6666666666666667
What are the conditions for the same prediction?;What is the scope of change permitted to still get the same prediction?;4.0
What kind of data does the system learn from?;What kind of data does it learn from?;6.0
What do you mean by ML terminology?;What does ML terminology mean?;5.333333333333333
For which kind of instances does this prediction hold?;What kind of instance gets a different prediction?;3.0
What is the scope of the system's capability?Can it do [A]?;Show me the scope of [the model's] work.;4.0
How should I interpret this result in terms of bias?;What are the biases of the data?;4.333333333333333
What are the top features it uses?;Which features are considered by the model?;3.0
What kind of instance gets this prediction?;What is the type of instance getting this result?;5.6
Explain the future behavior of the system.;Why will the system change over time?;2.0
What kind of instance gets a different prediction?;Which instances would get a different result?;5.0
How will the accuracy/precision/recall improve?;How will the system improve over time?;4.666666666666667
What is the scope of the system's capability?Can it do [A]?;What/where is the data from?;1.3333333333333333
Why does it not use this feature?;Why did you ignore this feature?;5.666666666666667
What is the system's overall logic?;What is the system's overall reasoning?;5.333333333333333
How did you get this result?;How is this instance given this prediction?;5.333333333333333
What is the weakness of the data?;What are the limitations of the data?;5.0
Why are instances A and B given different predictions?;Why are A and B predicted differently?;6.0
Why is this instance predicted P instead of Q?;Why is this instance P rather than Q?;4.666666666666667
What are the top features it uses?;What are the input features?;3.0
How will the model change over time?;What will the system change over time?;3.3333333333333335
What is the probability of the wrong classification?;In what situations is the system likely to be incorrect?;3.0
Which algorithm does X use?;What kind of algorithm is used?;4.666666666666667
How accurate are the predictions?;What is the probability of this prediction.;3.0
What are the rules that make this prediction?;How are the parameters set?;1.6666666666666667
How is the output used for other system component(s)?;How do other system components use the output?;4.666666666666667
Give me the list/names of top features.;Is feature X used or not used for the predictions?;2.0
How will the system adapt over time?;How does the system learn to adapt?;4.333333333333333
How should this feature change for this instance to get a different prediction?;What should I change in this instance to get a different prediction?;5.2
What kind of data does the system learn from?;From which kind of data does the system learn?;5.666666666666667
What are the conditions that must be met to guarantee this result?;What are the necessary features present or absent to guarantee this prediction?;4.333333333333333
What features of this instance lead to the system's prediction?;Which features lead to the prediction?;5.333333333333333
What is the reason for adaptation?;Why will the system adapt over time?;5.666666666666667
Where did the data come from?;What is the source of the data?;5.666666666666667
Why does it use this data?;Was this data selected?;3.0
How does the system weigh different features?;How does it weigh different features?;6.0
How does it weigh different features?;How does the model prioritize features?;5.0
How will the system performance improve over time?;How will the system improve over time?;5.666666666666667
What will cause the system to learn?;Why will the system adapt over time?;3.6666666666666665
Why is this instance given this prediction?;Why do A and B have the same label?;1.6666666666666667
Why do you use this feature?;Why does it use this feature?;5.666666666666667
What features of this instance lead to the system's prediction?;What features are related to the prediction?;4.666666666666667
How were the labels produced?;Where did the labels come from?;5.0
What are the top rules it uses?;What are the most salient rules that it uses?;5.0
How were the labels generated?;How were the labels produced?;6.0
What is the lowest feature one can have to still get the same prediction?;What is the smallest feature one can have to still get the same result?;5.0
Where did the data come from?;What data is the system not using?;1.0
What is the system's overall logic?;What is the reasoning process behind this result?;3.0
What is the importance of each feature?;How does it weigh different features?;4.0
How does this result change over time?;What will the system drift over time?;3.3333333333333335
How accurate are the predictions?;What percentage of predictions are correct?;5.0
What does the system use to make predictions?;How does the system make predictions?;4.0
In what conditions will this prediction be different?;What is the scope of change permitted to still get the same prediction?;3.6666666666666665
How often does the system make mistakes?;How often does it get the wrong prediction?;5.333333333333333
What are the weights of the parameters?;How are the parameters set?;4.333333333333333
Where is the system not effective?;What are the limitations of the system?;4.333333333333333
How is not label A?;How is this instance not predicted A?;4.666666666666667
How certain is the system about this prediction?;How reliable are the predictions?;3.6666666666666665
How were the ground-truth produced?;What was the source of the ground-truth?;5.0
What is the scope of its capability?;What is the scope of the system's capability?Can it do [A]?;4.333333333333333
Show me the scope of [the model's] work.;What does the system output mean?;2.0
Which feature is given importance?;How does it weigh different features?;4.333333333333333
Why is this instance predicted P instead of Q?;Why Q is not predicted but P?;5.666666666666667
How are the parameters set?;How do the parameters influence the prediction?;1.6666666666666667
What does this output represent?;What does the system output mean?;5.0
What characteristic of this data must be present or absent?;What are the necessary features present or absent to guarantee this prediction?;4.666666666666667
What would the system predict if this instance changes to A?;What do you think about this instance?;1.6666666666666667
How can I best utilize the output of the system?;What would be best to use the output for?;5.333333333333333
What is the reason for this prediction?;How is this instance given this prediction?;4.666666666666667
How should this Instance change to get a different prediction?;What should I change in this instance to get a different prediction?;5.666666666666667
What type of model is this?;What kind of algorithm is used?;3.3333333333333335
Which feature is the model using?;Why does it use this feature?;3.3333333333333335
What kind of mistakes is the system likely to make?;How to best avoid the mistakes made by the system.;3.6666666666666665
What is the highest feature one can have to still get the same prediction?;What feature has the largest possible value for which one can still receive the same result?;5.333333333333333
Why are instance A and B predicted differently?;Why is this instance predicted A instead of B?;2.3333333333333335
What features does the system consider?;Which features are considered by the model?;5.333333333333333
What is the justification for using that rule?;Why does it use this rule?;5.333333333333333
How accurate are the predictions?;How often is the system correct?;5.333333333333333
How can I best utilize the output of the system?;How can I make best use of this output?;5.333333333333333
How are the predictions made?;How does the system make predictions?;5.666666666666667
What are the top features it uses?;Give me the list/names of top features.;5.666666666666667
What features of this instance lead to the system's prediction?;How was this instance given this value/category?;4.333333333333333
Why is this instance predicted P instead of Q?;Why the result for this instance is P instead of Q?;5.666666666666667
How often does the system make mistakes?;How often does the system get it wrong?;5.333333333333333
What are the weaknesses of the system?;What are the limitations of the system?;5.333333333333333
What kind of output does the system give?;What is the kind of output?;5.0
How are the weights of the parameters set?;How are the parameters set?;4.333333333333333
What are the top rules it uses?;What are the most important rules?;5.666666666666667
What would the system predict if this feature of the instance changes to A?;What would the prediction of the class change to if a data point had A value of this attribute?;5.0
Give me the reason why the system will improve over time.;Why will the system improve over time?;5.666666666666667
What is the highest feature one can have to still get the same prediction?;For this prediction what is/are the highest value(s) of feature(s) which always leads to this prediction?;5.0
How accurate are the predictions?;What is the confidence score of this prediction.;5.333333333333333
How is this instance given this prediction?;Which data led to this prediction?;4.0
What would the system predict if this instance changes to A?;What would happen if this instance changes to A?;5.333333333333333
Which instance type gets this prediction?;What kind of instance gets this prediction?;5.666666666666667
What kind of instance gets a different prediction?;What kind of instance gets a different result?;5.333333333333333
How can I best utilize the output of the system?;How is the output used by other component(s)?;3.6666666666666665
Why are instance A and instance B given the same prediction?;How are these instances the same?;4.333333333333333
